2023,,, ,,,,,,,,,,
,,,,,,,,,,,,,
Krakka Æfingar,,,U16 Æfingar,,,U21 Æfingar,,,Fullorðins,,,Mánaðarkort,
Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Bogfimisetrið,
Vor,337500,,Vor,585000,,Vor,652500,,Vor,570250,,Vor,456000
Sumar,135000,,Sumar,135000,,Sumar,270000,,Sumar,550375,,Sumar,607500
Haust,"900,000",,Haust,"800,000",,Haust,"250,000",,Haust,583375,,Haust,622500
Samtals,1372500,,Samtals,1520000,,Samtals,1172500,,Samtals,1704000,,Samtals,1686000
,,,,,,,,,,,,,
Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,,
Vor,168750,,Vor,292500,,Vor,271250,,Vor,334000,,,
Sumar,67500,,Sumar,67500,,Sumar,113000,,Sumar,319750,,,
Haust,"450,000",,Haust,"400,000",,Haust,"71,000",,Haust,315250,,,
Samtals,686250,,Samtals,760000,,Samtals,455250,,Samtals,969000,,,
,,,,,,,,,,,,,
Laun,,,Laun,,,Laun,,,Laun,,,,
Vor,169050,,Vor,182574,,Vor,243432,,Vor,0,,,
Sumar,173880,,Sumar,187790.4,,Sumar,243432,,Sumar,0,,,
Haust,350078,,Haust,"166,925",,Haust,"295,016",,Haust,0,,,
Samtals,693008,,Samtals,537289.2,,Samtals,781880.4,,Samtals,0,,,
,,,,,,,,,,,,,
Margins,,,Margins,,,Margins,,,Margins,,,Samtals Margin,
Vor,-300,,Vor,109926,,Vor,137818,,Vor,236250,,Vor samtals,"483,694"
Sumar,-106380,,Sumar,-120290.4,,Sumar,-86432,,Sumar,230625,,Sumar samtals,"-82,477"
Haust,99922,,Haust,"233,075",,Haust,"-116,016",,Haust,268125,,Haust samtals,"485,105"
Samtals,-6758,,Samtals,222710.8,,Samtals,-64630,,Samtals,735000,,Samtals,"886,322"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Samtals,Á mánuði,,,,,,,,,,,
Tekjur,"5,769,000kr","480,750kr",,Bogfimisetrið,Samtals,Mánuði,,Bogfimisetrið Greitt Vor,,Mánaðarkort,Total,,
Bogfimisetrið,"2,870,500kr","239,208kr",,Vor,"1,066,500","266,625",,Janúar,"147,250","90,000","237,250",,
Laun,"2,012,178kr","167,682kr",,Sumar,"567,750","141,938",,Febrúar,"200,938","114,000","314,938",,
Margin,"886,322kr","73,860kr",,Haust,"1,236,250","309,063",,Mars,"242,563","126,000","368,563",,
,,,,,,,,Apríl,"266,625","126,000","392,625",,
,,,,,,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Sumar,,Mánaðarkort,Total,,
,,,,,,,,Maí,"65,000","157,500","222,500",,
,,,,,,,,Júní,"90,375","157,500","247,875",,
,,,,,,,,Júlí,"122,844","157,500","280,344",,
,,,,,,,,Ágúst,"141,938","135,000","276,938",,
,,,,,,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Haust,,Mánaðarkort,Total,,
,,,,,,,,September,"249,813","135,000","384,813",,
,,,,,,,,Október,"271,500","157,500","429,000",,
,,,,,,,,Nóvember,"291,000","157,500","448,500",,
,,,,,,,,Desember,"310,000","172,500","482,500",,
